name,description
Warrior's Valor (Blue),"Warrior's Valor (Blue) is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 1, pitches for 3, defends for 3, has None power, and has the abilities; Your next weapon attack this turn gains +1{p} and ""If this hits, the attack gains **go again**.""

**Go again**"
Whelming Gustwave (Red),"Whelming Gustwave (Red) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 3, has 3 power, and has the abilities; **Combo** - If Surging Strike was the last attack this combat chain, Whelming Gustwave gains +1{p}, **go again**, and ""If this hits, draw a card."""
Whelming Gustwave (Yellow),"Whelming Gustwave (Yellow) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 3, has 2 power, and has the abilities; **Combo** - If Surging Strike was the last attack this combat chain, Whelming Gustwave gains +1{p}, **go again**, and ""If this hits, draw a card."""
Whelming Gustwave (Blue),"Whelming Gustwave (Blue) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 3, has 1 power, and has the abilities; **Combo** - If Surging Strike was the last attack this combat chain, Whelming Gustwave gains +1{p}, **go again**, and ""If this hits, draw a card."""
Wounded Bull (Red),"Wounded Bull (Red) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 1, defends for 2, has 7 power, and has the abilities; When you play Wounded Bull, if you have less {h} than an opposing hero, it gains +1{p}."
Wounded Bull (Yellow),"Wounded Bull (Yellow) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 2, defends for 2, has 6 power, and has the abilities; When you play Wounded Bull, if you have less {h} than an opposing hero, it gains +1{p}."
Wounded Bull (Blue),"Wounded Bull (Blue) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 3, defends for 2, has 5 power, and has the abilities; When you play Wounded Bull, if you have less {h} than an opposing hero, it gains +1{p}."
Wounding Blow (Red),"Wounding Blow (Red) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 3, has 4 power, and has the abilities; None"
Wounding Blow (Yellow),"Wounding Blow (Yellow) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 3, has 3 power, and has the abilities; None"
Wounding Blow (Blue),"Wounding Blow (Blue) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 3, has 2 power, and has the abilities; None"
Wrecker Romp (Red),"Wrecker Romp (Red) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 3, has 8 power, and has the abilities; As an additional cost to play Wrecker Romp. Discard a random card."
Wrecker Romp (Yellow),"Wrecker Romp (Yellow) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 3, has 7 power, and has the abilities; As an additional cost to play Wrecker Romp. Discard a random card."
Wrecker Romp (Blue),"Wrecker Romp (Blue) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 3, has 6 power, and has the abilities; As an additional cost to play Wrecker Romp. Discard a random card."
